ESN,Cycles_Since_New,Sensed_Altitude,Sensed_Mach,Sensed_Pamb,Sensed_Pt2,Sensed_TAT,Sensed_WFuel,Sensed_VAFN,Sensed_VBV,Sensed_Fan_Speed,Sensed_Core_Speed,Sensed_T25,Sensed_T3,Sensed_Ps3,Sensed_T45,Sensed_P25,Sensed_T5,Cycles_to_WW,Cycles_to_HPC_SV,Cycles_to_HPT_SV,Cumulative_WWs,Cumulative_HPC_SVs,Cumulative_HPT_SVs
101,0,21561.071515887343,0.6242812319742402,6.342452783837165,8.222654270476994,495.2895553696183,0.5546077409828363,4484.591786363975,0.0096583457348186,1732.7628051628844,19978.13031885671,683.6535410816263,1440.2686134928315,238.84683620547972,1910.568923512217,22.419294568978163,1215.7060826165218,910,8510,4090,0,0,0
101,10,24517.821515887343,0.6638767167078218,5.607710324771436,7.495709827992419,497.79231399677485,0.5743125825296008,4518.625303063576,0.0,1833.2298977296152,20334.10711420682,703.0550026515023,1488.2340130804732,239.5390260260797,1993.5711168648745,22.03503538774051,1242.1923204106583,900,8500,4080,0,0,0
101,20,22303.321515887343,0.589174468730565,6.150101832488147,7.752425258164989,502.6838925737947,0.5284259001919787,4557.325229114435,0.0023122528207921,1743.643805993367,20132.55097674673,694.2819448632262,1461.160643344705,224.7641561842247,1944.6831690420004,21.11651882336284,1244.0063212890743,890,8490,4070,0,0,0
101,30,27234.52151588734,0.6758057667957506,5.006417338312227,6.749716653825989,483.7186321523627,0.5271956936691825,4516.17756846575,0.0,1826.6034677616947,20102.560374586545,686.6254612120264,1458.5630192395486,220.73235275885364,1963.6342511133935,20.171952647345147,1216.0641900656017,880,8480,4060,0,0,0
101,40,26172.321515887343,0.611948956464406,5.241969188046615,6.7297226031369926,471.5138198871982,0.47689052577512203,4540.558416765781,0.004768358000591575,1728.8696824830326,19610.659540800094,657.6642964835439,1394.6223874675977,205.52741049739603,1870.4189096105426,19.022659479922126,1179.7090187202298,870,8470,4050,0,0,0
101,50,24204.071515887343,0.6594194664703569,5.673452093998453,7.561737340372121,497.1903006267345,0.5860980962244133,4533.773155424267,0.0,1840.4901552663757,20349.275037931802,703.2528464209026,1490.4836161102658,243.75045611639922,1999.098425489045,22.349776456215622,1244.5801165353591,860,8460,4040,0,0,0
101,60,23098.071515887343,0.6490244611250123,5.944145727961867,7.85724585312,499.7350741593254,0.556567688002496,4483.930447494044,0.001516349188310975,1777.0937363652465,20187.056863993683,697.0636734980542,1468.3855613478845,236.12692304235742,1955.538571074507,22.129753795351625,1233.1698537901902,850,8450,4030,0,0,0
101,70,28718.72151588734,0.6640499665485582,4.702644025705035,6.282678282658977,471.0676774165501,0.471299484385623,4509.764767815818,0.0,1778.598962263083,19752.179894287132,666.0782318633434,1413.6561159976739,200.46849409170602,1904.4675041985715,18.500828858612287,1183.592511815627,840,8440,4020,0,0,0
101,80,27388.121515887342,0.6697829558597764,4.966629317907019,6.66982944354138,468.938982489522,0.4816837361191908,4482.984571811877,0.00049767355952566,1753.0197595882867,19644.23018748114,659.7214072762043,1398.5768459106753,208.12899180805545,1874.6878212163442,19.325147848271428,1167.6337542049735,830,8430,4010,0,0,0
101,90,27295.72151588734,0.6799763514744004,4.99054923159174,6.7578928208915645,475.5763065788127,0.5184443690428114,4514.869275408599,0.0,1808.1063783987308,19917.91874015196,674.8421620819141,1434.3492740672716,219.80179477935707,1929.1489046858055,20.160212481762755,1192.868294271409,820,8420,4000,0,0,0
